farmer_id,livestock_id,livestock_name,no_of_livestock
136,2,Cow,10
139,2,Cow,1
140,6,Sheep,50
141,3,Goat,1
142,2,Cow,1
143,4,Buffalo,2
145,2,Cow,2
146,4,Buffalo,2
154,1,Hen,1
162,2,Cow,10
165,2,Cow,1
203,2,Cow,2
215,3,Goat,1
235,2,Cow,2
236,2,Cow,1
237,2,Cow,5
238,4,Buffalo,1
241,2,Cow,1
343,2,Cow,2
344,2,Cow,1
382,1,Hen,2
385,2,Cow,4
388,2,Cow,2
388,1,Hen,3
398,2,Cow,2
378,1,Hen,2
460,3,Goat,2
1049,2,Cow,3
1050,2,Cow,1
1054,2,Cow,1
1055,2,Cow,1
1138,2,Cow,1
1139,2,Cow,2
1154,2,Cow,3
1154,3,Goat,2
1156,2,Cow,25
1162,2,Cow,1
1165,2,Cow,2
1169,2,Cow,4
1171,2,Cow,5
1172,2,Cow,2
1173,2,Cow,1
1173,6,Sheep,45
1174,2,Cow,9
1174,3,Goat,8
1187,2,Cow,2
1188,2,Cow,2
1188,1,Hen,2
1193,2,Cow,4
1196,2,Cow,2
1197,2,Cow,2
1219,2,Cow,2
1220,2,Cow,2
1220,1,Hen,2
1221,2,Cow,4
1224,2,Cow,4
1227,2,Cow,3
1227,1,Hen,5
1256,2,Cow,3
1256,1,Hen,3
392,1,Hen,2
392,2,Cow,3
392,4,Buffalo,1
1455,2,Cow,2
1457,2,Cow,4
1490,2,Cow,1
1492,2,Cow,1
1493,2,Cow,1
1903,2,Cow,2
1964,2,Cow,2
1970,2,Cow,2
137,2,Cow,1
138,2,Cow,1
1155,2,Cow,3
1155,3,Goat,2
2287,2,Cow,1
2288,2,Cow,4
155,2,Cow,1
156,2,Cow,1
217,2,Cow,1
304,2,Cow,2
316,2,Cow,2
1164,2,Cow,2
1166,2,Cow,3
1186,2,Cow,1
1186,1,Hen,3
1192,2,Cow,1
1194,2,Cow,4
1199,2,Cow,1
1203,2,Cow,3
1236,2,Cow,3
1245,2,Cow,1
1301,2,Cow,4
1257,2,Cow,3
1257,1,Hen,3
1258,2,Cow,2
1278,1,Hen,4
1562,2,Cow,9
15485,2,Cow,3
5419,2,Cow,4
6097,2,Cow,7
6098,2,Cow,4
6814,2,Cow,3
6842,2,Cow,2
6901,2,Cow,6
6760,2,Cow,4
6776,2,Cow,4
4240,2,Cow,10
4243,2,Cow,2
4296,7,Desi Cow,2
6864,2,Cow,2
7109,2,Cow,2
8380,2,Cow,2
2547,2,Cow,2
1292,2,Cow,2
2679,2,Cow,1
2787,2,Cow,1
1459,2,Cow,2
1477,2,Cow,1
1477,1,Hen,1
2774,2,Cow,1
4049,2,Cow,1
4050,2,Cow,2
4134,7,Desi Cow,2
4197,2,Cow,2
4514,2,Cow,2
4933,2,Cow,1
7210,2,Cow,1
11297,2,Cow,1
12317,2,Cow,2
