model_tr_id,farmer_id,model_name,model_id,Image,GPS,Longitudes,Latitudes
622,139,36 X 36,2,photos/model_622.jpg,13.504942192417424-79.40533591857277,79.40533592,13.50494219
3400,139,½ acre,6,photos/model_3400.jpg,13.505372746665456-79.40504734312444,79.40504734,13.50537275
700,144,Kitchen garden,5,photos/model_700.jpg,13.504442446527142-79.40658377496611,79.40658377,13.50444245
785,145,36 X 36,2,photos/model_785.jpg,13.505377619476139-79.40768929796671,79.4076893,13.50537762
1402,145,36 X 36,2,photos/model_1402.jpg,13.505273262258278-79.40768755701035,79.40768756,13.50527326
2164,237,SCI,8,photos/model_2164.jpg,13.504815610233404-79.40336553894929,79.40336554,13.50481561
596,237,Kitchen garden,5,photos/model_596.jpg,13.504651830881297-79.40507964900104,79.40507965,13.50465183
1187,237,SCI,8,photos/model_1187.jpg,13.504688736356549-79.40356445551683,79.40356446,13.50468874
581,241,Kitchen garden,5,photos/model_581.jpg,13.505161415263597-79.40567256769876,79.40567257,13.50516142
3035,460,36 X 36,2,photos/model_3035.jpg,13.509573212381664-79.4132224558926,79.41322246,13.50957321
1285,4117,SCI,8,photos/model_1285.jpg,13.50761630876589-79.41318291020572,79.41318291,13.50761631
3361,4134,Kitchen garden,5,photos/model_3361.jpg,13.504796141033255-79.40634598996641,79.40634599,13.50479614
3684,7983,Kitchen garden,5,photos/model_3684.jpg,13.579377057154952-79.3551047444185,79.35510474,13.57937706
950,15803,36 X 36,2,photos/model_950.jpg,13.505698185295445-79.3577915818897,79.35779158,13.50569819
1234,16943,SCI,8,photos/model_1234.jpg,13.502921655354973-79.3577279136682,79.35772791,13.50292166
1415,17391,Kitchen garden,5,photos/model_1415.jpg,13.538284932104261-79.07372695872408,79.07372696,13.53828493
1416,17465,36 X 36,2,photos/model_1416.jpg,13.53818033413131-79.07383549762243,79.0738355,13.53818033
2232,18445,36 X 36,2,photos/model_2232.jpg,13.585529821494344-79.32253686243442,79.32253686,13.58552982
3508,18455,36 X 36,2,photos/model_3508.jpg,13.616172281223047-79.27934930603337,79.27934931,13.61617228
3247,18455,36 X 36,2,photos/model_3247.jpg,13.616143174391464-79.27935083159845,79.27935083,13.61614317
3073,18712,36 X 36,2,photos/model_3073.jpg,13.538029786514674-79.07381443677752,79.07381444,13.53802979
2538,19203,Kitchen garden,5,photos/model_2538.jpg,13.620841480208407-79.28543969291998,79.28543969,13.62084148
2249,19716,½ acre,6,photos/model_2249.jpg,13.501221394716797-79.42010551622847,79.42010552,13.50122139
3295,19732,36 X 36,2,photos/model_3295.jpg,13.52698108106613-79.07284025711188,79.07284026,13.52698108
2585,20867,36 X 36,2,photos/model_2585.jpg,13.537920699292835-79.07427306720446,79.07427307,13.5379207
2948,22066,36 X 36,2,photos/model_2948.jpg,13.537759673240645-79.07427663626807,79.07427664,13.53775967
3294,23124,36 X 36,2,photos/model_3294.jpg,13.526926819126759-79.07287213192659,79.07287213,13.52692682
